name,hd,ra,dec,vmag,class
SAO 257616,,280.584583,-76.094469, 9.1,STAR
SAO 256479,,122.093583,-76.063106, 8.7,STAR
SAO 255889,,36.837113,-76.039681, 9.0,STAR
SAO 257937,,324.038813,-76.008289, 9.2,STAR
SAO 255932,,42.782979,-75.994658, 9.6,STAR
SAO 257458,,256.131008,-75.936414, 9.1,STAR
SAO 256048,,59.099883,-75.928619, 9.0,STAR
SAO 256137,,72.907583,-75.9122, 9.0,STAR
SAO 255844,,30.797658,-75.902742, 9.1,STAR
SAO 257216,,224.944633,-75.789186, 8.9,STAR
SAO 258037,,336.602979,-75.773231, 9.2,STAR
SAO 258089,,344.3891,-75.760258, 9.2,STAR
SAO 255994,,52.318613,-75.656075, 9.1,STAR
SAO 256100,,67.339562,-75.624461, 8.7,STAR
SAO 256456,,117.531367,-75.59165, 8.6,STAR
SAO 255900,,38.288962,-75.58895, 9.3,STAR
SAO 257149,,216.328896,-75.443906, 9.0,STAR
SAO 257599,,277.768704,-75.413428, 9.0,STAR
SAO 256101,,67.848808,-75.405311, 9.0,STAR
SAO 257597,,277.707883,-75.399683, 9.2,STAR
SAO 257654,,286.628467,-75.357836, 8.7,STAR
SAO 256063,,61.784613,-75.350114, 9.0,STAR
SAO 257375,,244.236192,-75.298194, 9.0,STAR
SAO 256727,,157.915333,-75.236586, 9.2,STAR
SAO 256204,,83.311387,-75.181722, 9.1,STAR
SAO 255771,,20.604375,-75.0917, 9.2,STAR
SAO 255975,,49.327417,-75.056825, 9.0,STAR
SAO 257442,,254.004008,-75.044678, 9.1,STAR
SAO 255776,,21.3368,-75.004464, 9.5,STAR
SAO 257954,,326.231354,-74.966703, 8.8,STAR
SAO 256563,,132.878042,-74.950775, 9.3,STAR
SAO 255924,,42.05145,-74.864403, 9.0,STAR
SAO 257185,,220.647567,-74.862372, 9.2,STAR
SAO 255821,,27.467496,-74.828372, 9.1,STAR
SAO 256470,,120.640871,-74.783183, 9.1,STAR
SAO 257642,,284.7546,-74.781825, 9.2,STAR
SAO 257918,,321.334329,-74.7679, 9.1,STAR
SAO 257336,,239.100842,-74.714242, 9.2,STAR
SAO 255852,,31.9284,-74.698108, 9.2,STAR
SAO 255867,,34.004162,-74.662619, 9.1,STAR
